                    ************************************************************************************************
                    *  Z= 40 A= 93: Positive-Parity Spin-dependent Level Density [MeV-1] for Zr 93 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.143  3.05E-01 1.22E+00 7.94E+00 1.68E-01 2.69E-01 2.78E-01 2.21E-01 1.42E-01 7.53E-02 3.36E-02 1.26E-02 4.03E-03 1.10E-03 2.55E-04 5.06E-05 8.59E-06 1.25E-06 1.57E-07 1.68E-08 1.55E-09 1.23E-10 8.36E-12 4.90E-13 2.47E-14 1.07E-15 3.99E-17 1.28E-18 3.54E-20 8.42E-22 1.72E-23 3.04E-25 4.62E-27 6.04E-29
   0.50  0.203  7.27E-01 1.69E+00 1.10E+01 2.32E-01 3.72E-01 3.86E-01 3.06E-01 1.96E-01 1.04E-01 4.65E-02 1.75E-02 5.58E-03 1.52E-03 3.53E-04 7.00E-05 1.19E-05 1.74E-06 2.17E-07 2.33E-08 2.15E-09 1.70E-10 1.16E-11 6.79E-13 3.42E-14 1.48E-15 5.53E-17 1.77E-18 4.90E-20 1.17E-21 2.39E-23 4.21E-25 6.40E-27 8.37E-29
   0.75  0.248  1.31E+00 2.34E+00 1.52E+01 3.22E-01 5.16E-01 5.34E-01 4.24E-01 2.72E-01 1.45E-01 6.44E-02 2.42E-02 7.74E-03 2.10E-03 4.88E-04 9.70E-05 1.65E-05 2.40E-06 3.01E-07 3.23E-08 2.97E-09 2.36E-10 1.60E-11 9.40E-13 4.73E-14 2.05E-15 7.65E-17 2.46E-18 6.79E-20 1.61E-21 3.31E-23 5.83E-25 8.86E-27 1.16E-28
   1.00  0.287  2.12E+00 3.24E+00 2.11E+01 4.46E-01 7.14E-01 7.40E-01 5.87E-01 3.77E-01 2.00E-01 8.92E-02 3.36E-02 1.07E-02 2.91E-03 6.77E-04 1.34E-04 2.28E-05 3.33E-06 4.16E-07 4.47E-08 4.12E-09 3.26E-10 2.22E-11 1.30E-12 6.56E-14 2.84E-15 1.06E-16 3.40E-18 9.40E-20 2.24E-21 4.58E-23 8.08E-25 1.23E-26 1.61E-28
   1.25  0.321  3.25E+00 4.49E+00 2.92E+01 6.18E-01 9.89E-01 1.02E+00 8.14E-01 5.22E-01 2.77E-01 1.24E-01 4.65E-02 1.48E-02 4.04E-03 9.37E-04 1.86E-04 3.16E-05 4.61E-06 5.77E-07 6.19E-08 5.71E-09 4.52E-10 3.08E-11 1.80E-12 9.08E-14 3.94E-15 1.47E-16 4.71E-18 1.30E-19 3.10E-21 6.35E-23 1.12E-24 1.70E-26 2.22E-28
   1.50  0.351  4.80E+00 6.22E+00 4.05E+01 8.56E-01 1.37E+00 1.42E+00 1.13E+00 7.23E-01 3.84E-01 1.71E-01 6.44E-02 2.06E-02 5.59E-03 1.30E-03 2.58E-04 4.38E-05 6.39E-06 7.99E-07 8.57E-08 7.90E-09 6.26E-10 4.27E-11 2.50E-12 1.26E-13 5.45E-15 2.03E-16 6.53E-18 1.80E-19 4.29E-21 8.79E-23 1.55E-24 2.36E-26 3.08E-28
   1.75  0.380  6.96E+00 8.62E+00 5.74E+01 1.14E+00 1.84E+00 1.94E+00 1.57E+00 1.04E+00 5.72E-01 2.66E-01 1.05E-01 3.55E-02 1.03E-02 2.55E-03 5.46E-04 1.01E-04 1.60E-05 2.20E-06 2.62E-07 2.69E-08 2.39E-09 1.83E-10 1.22E-11 7.03E-13 3.50E-14 1.51E-15 5.66E-17 1.84E-18 5.16E-20 1.26E-21 2.65E-23 4.85E-25 7.69E-27
   2.00  0.406  9.94E+00 1.19E+01 8.29E+01 1.46E+00 2.40E+00 2.60E+00 2.19E+00 1.52E+00 8.93E-01 4.46E-01 1.92E-01 7.12E-02 2.29E-02 6.41E-03 1.56E-03 3.31E-04 6.13E-05 9.92E-06 1.40E-06 1.73E-07 1.87E-08 1.77E-09 1.46E-10 1.06E-11 6.73E-13 3.74E-14 1.82E-15 7.77E-17 2.90E-18 9.51E-20 2.73E-21 6.88E-23 1.52E-24
   2.25  0.430  1.41E+01 1.65E+01 1.19E+02 1.88E+00 3.14E+00 3.48E+00 3.04E+00 2.21E+00 1.36E+00 7.24E-01 3.34E-01 1.35E-01 4.75E-02 1.47E-02 3.99E-03 9.54E-04 2.01E-04 3.73E-05 6.12E-06 8.85E-07 1.13E-07 1.27E-08 1.27E-09 1.12E-10 8.73E-12 6.02E-13 3.67E-14 1.98E-15 9.44E-17 3.98E-18 1.49E-19 4.92E-21 1.44E-22
   2.50  0.454  1.98E+01 2.29E+01 1.71E+02 2.44E+00 4.12E+00 4.66E+00 4.19E+00 3.16E+00 2.04E+00 1.14E+00 5.62E-01 2.43E-01 9.25E-02 3.12E-02 9.33E-03 2.47E-03 5.82E-04 1.22E-04 2.27E-05 3.76E-06 5.55E-07 7.30E-08 8.55E-09 8.93E-10 8.31E-11 6.90E-12 5.10E-13 3.37E-14 1.98E-15 1.04E-16 4.89E-18 2.04E-19 7.63E-21
   2.75  0.476  2.77E+01 3.17E+01 2.45E+02 3.17E+00 5.42E+00 6.24E+00 5.76E+00 4.48E+00 3.01E+00 1.77E+00 9.17E-01 4.21E-01 1.72E-01 6.26E-02 2.03E-02 5.89E-03 1.53E-03 3.55E-04 7.40E-05 1.38E-05 2.31E-06 3.47E-07 4.68E-08 5.66E-09 6.15E-10 6.00E-11 5.26E-12 4.14E-13 2.93E-14 1.86E-15 1.07E-16 5.47E-18 2.53E-19
   3.00  0.497  3.87E+01 4.39E+01 3.50E+02 4.14E+00 7.14E+00 8.36E+00 7.88E+00 6.31E+00 4.39E+00 2.69E+00 1.46E+00 7.09E-01 3.07E-01 1.19E-01 4.17E-02 1.31E-02 3.70E-03 9.43E-04 2.17E-04 4.49E-05 8.40E-06 1.42E-06 2.16E-07 2.98E-08 3.71E-09 4.17E-10 4.25E-11 3.91E-12 3.25E-13 2.44E-14 1.66E-15 1.02E-16 5.69E-18
   3.25  0.517  5.39E+01 6.09E+01 4.99E+02 5.43E+00 9.44E+00 1.12E+01 1.08E+01 8.84E+00 6.35E+00 4.03E+00 2.29E+00 1.16E+00 5.32E-01 2.19E-01 8.17E-02 2.75E-02 8.39E-03 2.32E-03 5.81E-04 1.32E-04 2.73E-05 5.11E-06 8.69E-07 1.34E-07 1.89E-08 2.41E-09 2.80E-10 2.95E-11 2.83E-12 2.47E-13 1.96E-14 1.42E-15 9.30E-17
   3.50  0.537  7.50E+01 8.43E+01 7.11E+02 7.13E+00 1.25E+01 1.50E+01 1.47E+01 1.23E+01 9.11E+00 5.98E+00 3.52E+00 1.87E+00 8.96E-01 3.89E-01 1.54E-01 5.51E-02 1.80E-02 5.34E-03 1.45E-03 3.57E-04 8.05E-05 1.65E-05 3.10E-06 5.32E-07 8.32E-08 1.19E-08 1.55E-09 1.85E-10 2.02E-11 2.01E-12 1.84E-13 1.53E-14 1.16E-15
   3.75  0.556  1.04E+02 1.17E+02 1.01E+03 9.40E+00 1.66E+01 2.02E+01 2.00E+01 1.72E+01 1.30E+01 8.78E+00 5.35E+00 2.95E+00 1.47E+00 6.72E-01 2.79E-01 1.06E-01 3.67E-02 1.17E-02 3.39E-03 9.00E-04 2.19E-04 4.90E-05 1.00E-05 1.89E-06 3.25E-07 5.15E-08 7.47E-09 9.95E-10 1.22E-10 1.37E-11 1.41E-12 1.34E-13 1.16E-14
   4.00  0.574  1.45E+02 1.62E+02 1.44E+03 1.24E+01 2.20E+01 2.71E+01 2.73E+01 2.38E+01 1.84E+01 1.28E+01 8.03E+00 4.58E+00 2.38E+00 1.13E+00 4.93E-01 1.97E-01 7.21E-02 2.43E-02 7.51E-03 2.14E-03 5.59E-04 1.35E-04 2.99E-05 6.10E-06 1.15E-06 1.99E-07 3.18E-08 4.67E-09 6.34E-10 7.93E-11 9.15E-12 9.73E-13 9.54E-14
