  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY

     1     2.0000E+07  1.9900E+07     5.0125E-03     1.4153E-14     2.8235E-12
     2     1.9900E+07  1.9800E+07     5.0378E-03     8.1511E-15     1.6180E-12
     3     1.9800E+07  1.9700E+07     5.0633E-03     1.9107E-14     3.7736E-12
     4     1.9700E+07  1.9600E+07     5.0891E-03     1.2712E-14     2.4979E-12
     5     1.9600E+07  1.9500E+07     5.1151E-03     2.3096E-14     4.5153E-12
     6     1.9500E+07  1.9400E+07     5.1414E-03     1.4552E-14     2.8304E-12
     7     1.9400E+07  1.9300E+07     5.1680E-03     3.1660E-14     6.1262E-12
     8     1.9300E+07  1.9200E+07     5.1948E-03     1.6331E-14     3.1437E-12
     9     1.9200E+07  1.9100E+07     5.2219E-03     1.1286E-14     2.1613E-12
    10     1.9100E+07  1.9000E+07     5.2494E-03     4.4992E-14     8.5710E-12
    11     1.9000E+07  1.8900E+07     5.2771E-03     3.7434E-14     7.0937E-12
    12     1.8900E+07  1.8800E+07     5.3051E-03     3.2145E-14     6.0593E-12
    13     1.8800E+07  1.8700E+07     5.3333E-03     2.5083E-14     4.7031E-12
    14     1.8700E+07  1.8600E+07     5.3619E-03     2.7889E-14     5.2013E-12
    15     1.8600E+07  1.8500E+07     5.3908E-03     2.8979E-14     5.3756E-12
    16     1.8500E+07  1.8400E+07     5.4201E-03     4.0408E-14     7.4553E-12
    17     1.8400E+07  1.8300E+07     5.4496E-03     5.1173E-14     9.3902E-12
    18     1.8300E+07  1.8200E+07     5.4795E-03     5.0216E-14     9.1644E-12
    19     1.8200E+07  1.8100E+07     5.5097E-03     3.7678E-14     6.8385E-12
    20     1.8100E+07  1.8000E+07     5.5402E-03     5.6661E-14     1.0227E-11
    21     1.8000E+07  1.7900E+07     5.5710E-03     6.9270E-14     1.2434E-11
    22     1.7900E+07  1.7800E+07     5.6023E-03     7.8075E-14     1.3936E-11
    23     1.7800E+07  1.7700E+07     5.6338E-03     4.2545E-14     7.5517E-12
    24     1.7700E+07  1.7600E+07     5.6657E-03     5.2832E-14     9.3248E-12
    25     1.7600E+07  1.7500E+07     5.6980E-03     8.4845E-14     1.4890E-11
    26     1.7500E+07  1.7400E+07     5.7307E-03     7.4550E-14     1.3009E-11
    27     1.7400E+07  1.7300E+07     5.7637E-03     8.7753E-14     1.5225E-11
    28     1.7300E+07  1.7200E+07     5.7971E-03     8.3664E-14     1.4432E-11
    29     1.7200E+07  1.7100E+07     5.8309E-03     1.1078E-13     1.8999E-11
    30     1.7100E+07  1.7000E+07     5.8651E-03     8.8693E-14     1.5122E-11
    31     1.7000E+07  1.6900E+07     5.8997E-03     1.3850E-13     2.3476E-11
    32     1.6900E+07  1.6800E+07     5.9347E-03     1.3498E-13     2.2744E-11
    33     1.6800E+07  1.6700E+07     5.9702E-03     1.4307E-13     2.3964E-11
    34     1.6700E+07  1.6600E+07     6.0060E-03     1.3150E-13     2.1895E-11
    35     1.6600E+07  1.6500E+07     6.0423E-03     1.6410E-13     2.7158E-11
    36     1.6500E+07  1.6400E+07     6.0790E-03     1.5864E-13     2.6096E-11
    37     1.6400E+07  1.6300E+07     6.1162E-03     1.7312E-13     2.8305E-11
    38     1.6300E+07  1.6200E+07     6.1539E-03     1.8327E-13     2.9781E-11
    39     1.6200E+07  1.6100E+07     6.1920E-03     1.8938E-13     3.0585E-11
    40     1.6100E+07  1.6000E+07     6.2305E-03     2.0245E-13     3.2493E-11
    41     1.6000E+07  1.5900E+07     6.2696E-03     2.5904E-13     4.1317E-11
    42     1.5900E+07  1.5800E+07     6.3092E-03     2.3983E-13     3.8013E-11
    43     1.5800E+07  1.5700E+07     6.3492E-03     2.3007E-13     3.6236E-11
    44     1.5700E+07  1.5600E+07     6.3898E-03     2.5406E-13     3.9760E-11
    45     1.5600E+07  1.5500E+07     6.4309E-03     3.0952E-13     4.8130E-11
    46     1.5500E+07  1.5400E+07     6.4725E-03     3.2271E-13     4.9859E-11
    47     1.5400E+07  1.5300E+07     6.5147E-03     3.3761E-13     5.1823E-11
    48     1.5300E+07  1.5200E+07     6.5574E-03     3.5298E-13     5.3829E-11
    49     1.5200E+07  1.5100E+07     6.6007E-03     4.4119E-13     6.6840E-11
    50     1.5100E+07  1.5000E+07     6.6445E-03     4.3579E-13     6.5586E-11
    51     1.5000E+07  1.4900E+07     6.6890E-03     4.3636E-13     6.5236E-11
    52     1.4900E+07  1.4800E+07     6.7340E-03     4.5615E-13     6.7738E-11
    53     1.4800E+07  1.4700E+07     6.7797E-03     5.7691E-13     8.5094E-11
    54     1.4700E+07  1.4600E+07     6.8260E-03     5.6220E-13     8.2362E-11
    55     1.4600E+07  1.4500E+07     6.8729E-03     4.8774E-13     7.0966E-11
    56     1.4500E+07  1.4400E+07     6.9204E-03     6.7380E-13     9.7364E-11
    57     1.4400E+07  1.4300E+07     6.9687E-03     7.8655E-13     1.1287E-10
    58     1.4300E+07  1.4200E+07     7.0176E-03     8.4418E-13     1.2030E-10
    59     1.4200E+07  1.4100E+07     7.0672E-03     8.5483E-13     1.2096E-10
    60     1.4100E+07  1.4000E+07     7.1175E-03     9.4666E-13     1.3301E-10
    61     1.4000E+07  1.3900E+07     7.1685E-03     9.7574E-13     1.3612E-10
    62     1.3900E+07  1.3800E+07     7.2202E-03     1.1418E-12     1.5814E-10
    63     1.3800E+07  1.3700E+07     7.2728E-03     1.0650E-12     1.4644E-10
    64     1.3700E+07  1.3600E+07     7.3260E-03     1.2048E-12     1.6445E-10
    65     1.3600E+07  1.3500E+07     7.3801E-03     1.2148E-12     1.6460E-10
    66     1.3500E+07  1.3400E+07     7.4350E-03     1.2886E-12     1.7332E-10
    67     1.3400E+07  1.3300E+07     7.4907E-03     1.5229E-12     2.0331E-10
    68     1.3300E+07  1.3200E+07     7.5472E-03     1.6387E-12     2.1713E-10
    69     1.3200E+07  1.3100E+07     7.6046E-03     1.6950E-12     2.2289E-10
    70     1.3100E+07  1.3000E+07     7.6629E-03     1.8868E-12     2.4623E-10
    71     1.3000E+07  1.2900E+07     7.7220E-03     1.9019E-12     2.4629E-10
    72     1.2900E+07  1.2800E+07     7.7821E-03     2.0287E-12     2.6069E-10
    73     1.2800E+07  1.2700E+07     7.8432E-03     2.4115E-12     3.0746E-10
    74     1.2700E+07  1.2600E+07     7.9052E-03     2.4220E-12     3.0638E-10
    75     1.2600E+07  1.2500E+07     7.9682E-03     2.7583E-12     3.4616E-10
    76     1.2500E+07  1.2400E+07     8.0322E-03     2.8900E-12     3.5980E-10
    77     1.2400E+07  1.2300E+07     8.0972E-03     3.0795E-12     3.8032E-10
    78     1.2300E+07  1.2200E+07     8.1633E-03     3.3716E-12     4.1302E-10
    79     1.2200E+07  1.2100E+07     8.2305E-03     3.5838E-12     4.3543E-10
    80     1.2100E+07  1.2000E+07     8.2988E-03     3.8157E-12     4.5979E-10
    81     1.2000E+07  1.1900E+07     8.3682E-03     3.8479E-12     4.5982E-10
    82     1.1900E+07  1.1800E+07     8.4389E-03     4.2613E-12     5.0496E-10
    83     1.1800E+07  1.1700E+07     8.5107E-03     4.8274E-12     5.6722E-10
    84     1.1700E+07  1.1600E+07     8.5837E-03     4.9418E-12     5.7572E-10
    85     1.1600E+07  1.1500E+07     8.6581E-03     5.3303E-12     6.1565E-10
    86     1.1500E+07  1.1400E+07     8.7337E-03     5.5132E-12     6.3126E-10
    87     1.1400E+07  1.1300E+07     8.8106E-03     6.0902E-12     6.9123E-10
    88     1.1300E+07  1.1200E+07     8.8889E-03     6.4200E-12     7.2225E-10
    89     1.1200E+07  1.1100E+07     8.9687E-03     7.0737E-12     7.8871E-10
    90     1.1100E+07  1.1000E+07     9.0498E-03     7.9276E-12     8.7599E-10
    91     1.1000E+07  1.0900E+07     9.1325E-03     8.8176E-12     9.6552E-10
    92     1.0900E+07  1.0800E+07     9.2167E-03     9.5070E-12     1.0315E-09
    93     1.0800E+07  1.0700E+07     9.3024E-03     1.0294E-11     1.1066E-09
    94     1.0700E+07  1.0600E+07     9.3897E-03     1.1184E-11     1.1911E-09
    95     1.0600E+07  1.0500E+07     9.4787E-03     1.1898E-11     1.2552E-09
    96     1.0500E+07  1.0400E+07     9.5695E-03     1.2749E-11     1.3323E-09
    97     1.0400E+07  1.0300E+07     9.6619E-03     1.3047E-11     1.3504E-09
    98     1.0300E+07  1.0200E+07     9.7562E-03     1.4221E-11     1.4576E-09
    99     1.0200E+07  1.0100E+07     9.8523E-03     1.5131E-11     1.5358E-09
   100     1.0100E+07  1.0000E+07     9.9503E-03     1.6121E-11     1.6201E-09
   101     1.0000E+07  9.9000E+06     1.0050E-02     1.7656E-11     1.7568E-09
   102     9.9000E+06  9.8000E+06     1.0152E-02     1.9058E-11     1.8772E-09
   103     9.8000E+06  9.7000E+06     1.0257E-02     1.9974E-11     1.9474E-09
   104     9.7000E+06  9.6000E+06     1.0363E-02     2.2065E-11     2.1293E-09
   105     9.6000E+06  9.5000E+06     1.0471E-02     2.4181E-11     2.3093E-09
   106     9.5000E+06  9.4000E+06     1.0582E-02     2.5868E-11     2.4445E-09
   107     9.4000E+06  9.3000E+06     1.0695E-02     2.8523E-11     2.6669E-09
   108     9.3000E+06  9.2000E+06     1.0811E-02     3.1281E-11     2.8935E-09
   109     9.2000E+06  9.1000E+06     1.0929E-02     3.2720E-11     2.9939E-09
   110     9.1000E+06  9.0000E+06     1.1050E-02     3.3936E-11     3.0712E-09
   111     9.0000E+06  8.9000E+06     1.1173E-02     3.7528E-11     3.3587E-09
   112     8.9000E+06  8.8000E+06     1.1300E-02     3.9692E-11     3.5127E-09
   113     8.8000E+06  8.7000E+06     1.1429E-02     4.0809E-11     3.5707E-09
   114     8.7000E+06  8.6000E+06     1.1561E-02     4.5450E-11     3.9314E-09
   115     8.6000E+06  8.5000E+06     1.1696E-02     5.0336E-11     4.3037E-09
   116     8.5000E+06  8.4000E+06     1.1834E-02     5.2555E-11     4.4408E-09
   117     8.4000E+06  8.3000E+06     1.1976E-02     5.5177E-11     4.6072E-09
   118     8.3000E+06  8.2000E+06     1.2121E-02     5.8797E-11     4.8507E-09
   119     8.2000E+06  8.1000E+06     1.2270E-02     6.5553E-11     5.3425E-09
   120     8.1000E+06  8.0000E+06     1.2423E-02     7.6575E-11     6.1642E-09
   121     8.0000E+06  7.9000E+06     1.2579E-02     7.9609E-11     6.3288E-09
   122     7.9000E+06  7.8000E+06     1.2739E-02     7.8507E-11     6.1627E-09
   123     7.8000E+06  7.7000E+06     1.2903E-02     8.7830E-11     6.8067E-09
   124     7.7000E+06  7.6000E+06     1.3072E-02     9.7775E-11     7.4797E-09
   125     7.6000E+06  7.5000E+06     1.3245E-02     1.0750E-10     8.1161E-09
   126     7.5000E+06  7.4000E+06     1.3423E-02     1.1362E-10     8.4646E-09
   127     7.4000E+06  7.3000E+06     1.3606E-02     1.1851E-10     8.7104E-09
   128     7.3000E+06  7.2000E+06     1.3793E-02     1.2546E-10     9.0957E-09
   129     7.2000E+06  7.1000E+06     1.3986E-02     1.4201E-10     1.0154E-08
   130     7.1000E+06  7.0000E+06     1.4185E-02     1.5917E-10     1.1221E-08
   131     7.0000E+06  6.9000E+06     1.4389E-02     1.7519E-10     1.2175E-08
   132     6.9000E+06  6.8000E+06     1.4599E-02     1.8197E-10     1.2465E-08
   133     6.8000E+06  6.7000E+06     1.4815E-02     1.9651E-10     1.3264E-08
   134     6.7000E+06  6.6000E+06     1.5038E-02     2.1310E-10     1.4171E-08
