  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY

     1     2.0000E+07  1.9900E+07     5.0125E-03     0.0000E+00     0.0000E+00
     2     1.9900E+07  1.9800E+07     5.0378E-03     7.3148E-15     1.4520E-12
     3     1.9800E+07  1.9700E+07     5.0633E-03     5.6578E-15     1.1174E-12
     4     1.9700E+07  1.9600E+07     5.0891E-03     1.6272E-14     3.1974E-12
     5     1.9600E+07  1.9500E+07     5.1151E-03     3.3168E-14     6.4843E-12
     6     1.9500E+07  1.9400E+07     5.1414E-03     1.6865E-14     3.2802E-12
     7     1.9400E+07  1.9300E+07     5.1680E-03     9.8505E-15     1.9061E-12
     8     1.9300E+07  1.9200E+07     5.1948E-03     5.6158E-14     1.0810E-11
     9     1.9200E+07  1.9100E+07     5.2219E-03     3.8889E-14     7.4472E-12
    10     1.9100E+07  1.9000E+07     5.2494E-03     4.5073E-14     8.5864E-12
    11     1.9000E+07  1.8900E+07     5.2771E-03     2.0557E-14     3.8955E-12
    12     1.8900E+07  1.8800E+07     5.3051E-03     4.0095E-14     7.5579E-12
    13     1.8800E+07  1.8700E+07     5.3333E-03     5.9917E-14     1.1234E-11
    14     1.8700E+07  1.8600E+07     5.3619E-03     2.3882E-14     4.4540E-12
    15     1.8600E+07  1.8500E+07     5.3908E-03     3.7876E-14     7.0260E-12
    16     1.8500E+07  1.8400E+07     5.4201E-03     3.6315E-14     6.7001E-12
    17     1.8400E+07  1.8300E+07     5.4496E-03     7.5846E-14     1.3918E-11
    18     1.8300E+07  1.8200E+07     5.4795E-03     5.5327E-14     1.0097E-11
    19     1.8200E+07  1.8100E+07     5.5097E-03     1.1650E-13     2.1145E-11
    20     1.8100E+07  1.8000E+07     5.5402E-03     1.0861E-13     1.9604E-11
    21     1.8000E+07  1.7900E+07     5.5710E-03     5.0275E-14     9.0243E-12
    22     1.7900E+07  1.7800E+07     5.6023E-03     1.0208E-13     1.8221E-11
    23     1.7800E+07  1.7700E+07     5.6338E-03     4.3018E-14     7.6357E-12
    24     1.7700E+07  1.7600E+07     5.6657E-03     1.3764E-13     2.4293E-11
    25     1.7600E+07  1.7500E+07     5.6980E-03     8.6328E-14     1.5151E-11
    26     1.7500E+07  1.7400E+07     5.7307E-03     6.7486E-14     1.1776E-11
    27     1.7400E+07  1.7300E+07     5.7637E-03     1.0395E-13     1.8035E-11
    28     1.7300E+07  1.7200E+07     5.7971E-03     1.0643E-13     1.8359E-11
    29     1.7200E+07  1.7100E+07     5.8309E-03     1.5838E-13     2.7162E-11
    30     1.7100E+07  1.7000E+07     5.8651E-03     9.9972E-14     1.7045E-11
    31     1.7000E+07  1.6900E+07     5.8997E-03     1.5404E-13     2.6110E-11
    32     1.6900E+07  1.6800E+07     5.9347E-03     1.4993E-13     2.5263E-11
    33     1.6800E+07  1.6700E+07     5.9702E-03     1.4047E-13     2.3529E-11
    34     1.6700E+07  1.6600E+07     6.0060E-03     1.2728E-13     2.1192E-11
    35     1.6600E+07  1.6500E+07     6.0423E-03     2.7515E-13     4.5537E-11
    36     1.6500E+07  1.6400E+07     6.0790E-03     2.1275E-13     3.4997E-11
    37     1.6400E+07  1.6300E+07     6.1162E-03     2.3082E-13     3.7739E-11
    38     1.6300E+07  1.6200E+07     6.1539E-03     2.3996E-13     3.8993E-11
    39     1.6200E+07  1.6100E+07     6.1920E-03     2.1553E-13     3.4808E-11
    40     1.6100E+07  1.6000E+07     6.2305E-03     4.0841E-13     6.5550E-11
