  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY

     1     2.0000E+07  1.9953E+07     2.3528E-03     0.0000E+00     0.0000E+00
     2     1.9953E+07  1.9055E+07     4.6050E-02     0.0000E+00     0.0000E+00
     3     1.9055E+07  1.8197E+07     4.6073E-02     0.0000E+00     0.0000E+00
     4     1.8197E+07  1.7378E+07     4.6052E-02     0.0000E+00     0.0000E+00
     5     1.7378E+07  1.6596E+07     4.6043E-02     0.0000E+00     0.0000E+00
     6     1.6596E+07  1.5849E+07     4.6055E-02     0.0000E+00     0.0000E+00
     7     1.5849E+07  1.5136E+07     4.6030E-02     3.1066E+09     6.7489E+10
     8     1.5136E+07  1.4454E+07     4.6105E-02     5.8900E+12     1.2775E+14
     9     1.4454E+07  1.3804E+07     4.6013E-02     5.6420E+13     1.2262E+15
    10     1.3804E+07  1.3183E+07     4.6030E-02     1.4497E+13     3.1494E+14
    11     1.3183E+07  1.2589E+07     4.6105E-02     1.8868E+12     4.0924E+13
    12     1.2589E+07  1.2023E+07     4.6002E-02     9.2592E+11     2.0128E+13
    13     1.2023E+07  1.1482E+07     4.6041E-02     5.3255E+11     1.1567E+13
    14     1.1482E+07  1.0965E+07     4.6072E-02     5.6783E+11     1.2325E+13
    15     1.0965E+07  1.0471E+07     4.6099E-02     7.4128E+11     1.6080E+13
    16     1.0471E+07  1.0000E+07     4.6024E-02     8.6980E+11     1.8899E+13
    17     1.0000E+07  9.5499E+06     4.6054E-02     9.1598E+11     1.9889E+13
    18     9.5499E+06  9.1201E+06     4.6050E-02     9.8189E+11     2.1322E+13
    19     9.1201E+06  8.7096E+06     4.6055E-02     9.2773E+11     2.0144E+13
    20     8.7096E+06  8.3176E+06     4.6052E-02     7.8651E+11     1.7079E+13
    21     8.3176E+06  7.9433E+06     4.6045E-02     7.6556E+11     1.6626E+13
    22     7.9433E+06  7.5858E+06     4.6051E-02     7.7222E+11     1.6769E+13
    23     7.5858E+06  7.2444E+06     4.6049E-02     7.8929E+11     1.7140E+13
    24     7.2444E+06  6.9183E+06     4.6059E-02     7.8307E+11     1.7002E+13
    25     6.9183E+06  6.6069E+06     4.6056E-02     7.6542E+11     1.6620E+13
    26     6.6069E+06  6.3096E+06     4.6042E-02     7.8337E+11     1.7014E+13
    27     6.3096E+06  6.0256E+06     4.6055E-02     8.1931E+11     1.7790E+13
    28     6.0256E+06  5.7544E+06     4.6052E-02     8.5307E+11     1.8524E+13
    29     5.7544E+06  5.4954E+06     4.6053E-02     8.9670E+11     1.9471E+13
    30     5.4954E+06  5.2481E+06     4.6045E-02     9.4068E+11     2.0429E+13
    31     5.2481E+06  5.0119E+06     4.6051E-02     9.7926E+11     2.1265E+13
    32     5.0119E+06  4.7863E+06     4.6057E-02     1.0160E+12     2.2059E+13
    33     4.7863E+06  4.5709E+06     4.6048E-02     1.0597E+12     2.3013E+13
    34     4.5709E+06  4.3652E+06     4.6046E-02     1.0870E+12     2.3608E+13
    35     4.3652E+06  4.1687E+06     4.6060E-02     1.1222E+12     2.4365E+13
    36     4.1687E+06  3.9811E+06     4.6046E-02     1.1686E+12     2.5379E+13
    37     3.9811E+06  3.8019E+06     4.6057E-02     1.1800E+12     2.5620E+13
    38     3.8019E+06  3.6308E+06     4.6048E-02     1.2066E+12     2.6204E+13
    39     3.6308E+06  3.4674E+06     4.6048E-02     1.2322E+12     2.6759E+13
    40     3.4674E+06  3.3113E+06     4.6064E-02     1.2784E+12     2.7752E+13
    41     3.3113E+06  3.1623E+06     4.6041E-02     1.3211E+12     2.8694E+13
    42     3.1623E+06  3.0200E+06     4.6043E-02     1.3731E+12     2.9821E+13
    43     3.0200E+06  2.8840E+06     4.6079E-02     1.4492E+12     3.1450E+13
    44     2.8840E+06  2.7542E+06     4.6051E-02     1.4825E+12     3.2193E+13
    45     2.7542E+06  2.6303E+06     4.6029E-02     1.6050E+12     3.4869E+13
    46     2.6303E+06  2.5119E+06     4.6058E-02     1.6837E+12     3.6556E+13
    47     2.5119E+06  2.3988E+06     4.6071E-02     1.8688E+12     4.0564E+13
    48     2.3988E+06  2.2909E+06     4.6024E-02     1.9868E+12     4.3168E+13
    49     2.2909E+06  2.1878E+06     4.6048E-02     2.0125E+12     4.3705E+13
    50     2.1878E+06  2.0893E+06     4.6067E-02     2.1239E+12     4.6104E+13
    51     2.0893E+06  1.9953E+06     4.6035E-02     2.1440E+12     4.6574E+13
    52     1.9953E+06  1.9055E+06     4.6050E-02     2.1852E+12     4.7453E+13
    53     1.9055E+06  1.8197E+06     4.6073E-02     2.3530E+12     5.1072E+13
    54     1.8197E+06  1.7378E+06     4.6052E-02     2.7165E+12     5.8987E+13
    55     1.7378E+06  1.6596E+06     4.6043E-02     2.9254E+12     6.3535E+13
    56     1.6596E+06  1.5849E+06     4.6055E-02     2.7803E+12     6.0369E+13
    57     1.5849E+06  1.5136E+06     4.6030E-02     2.8482E+12     6.1877E+13
    58     1.5136E+06  1.4454E+06     4.6105E-02     2.9643E+12     6.4295E+13
    59     1.4454E+06  1.3804E+06     4.6013E-02     2.9066E+12     6.3170E+13
    60     1.3804E+06  1.3183E+06     4.6030E-02     3.1406E+12     6.8229E+13
    61     1.3183E+06  1.2589E+06     4.6105E-02     3.1010E+12     6.7260E+13
    62     1.2589E+06  1.2023E+06     4.6002E-02     3.2776E+12     7.1250E+13
    63     1.2023E+06  1.1482E+06     4.6041E-02     3.7897E+12     8.2311E+13
    64     1.1482E+06  1.0965E+06     4.6072E-02     3.5158E+12     7.6310E+13
    65     1.0965E+06  1.0471E+06     4.6099E-02     3.2402E+12     7.0287E+13
    66     1.0471E+06  1.0000E+06     4.6024E-02     3.2377E+12     7.0347E+13
    67     1.0000E+06  9.5499E+05     4.6054E-02     3.4939E+12     7.5864E+13
    68     9.5499E+05  9.1201E+05     4.6050E-02     3.8215E+12     8.2986E+13
    69     9.1201E+05  8.7096E+05     4.6055E-02     3.6340E+12     7.8906E+13
    70     8.7096E+05  8.3176E+05     4.6052E-02     3.6297E+12     7.8818E+13
    71     8.3176E+05  7.9433E+05     4.6045E-02     3.6039E+12     7.8268E+13
    72     7.9433E+05  7.5858E+05     4.6051E-02     3.6004E+12     7.8183E+13
    73     7.5858E+05  7.2444E+05     4.6049E-02     3.8142E+12     8.2829E+13
    74     7.2444E+05  6.9183E+05     4.6059E-02     4.8908E+12     1.0619E+14
    75     6.9183E+05  6.6069E+05     4.6056E-02     4.0965E+12     8.8947E+13
    76     6.6069E+05  6.3096E+05     4.6042E-02     4.9174E+12     1.0680E+14
    77     6.3096E+05  6.0256E+05     4.6055E-02     4.2031E+12     9.1262E+13
    78     6.0256E+05  5.7544E+05     4.6052E-02     3.8384E+12     8.3348E+13
    79     5.7544E+05  5.4954E+05     4.6053E-02     3.8710E+12     8.4055E+13
    80     5.4954E+05  5.2481E+05     4.6045E-02     3.8606E+12     8.3843E+13
    81     5.2481E+05  5.0119E+05     4.6051E-02     3.7848E+12     8.2187E+13
    82     5.0119E+05  4.7863E+05     4.6057E-02     3.9865E+12     8.6556E+13
    83     4.7863E+05  4.5709E+05     4.6048E-02     4.2921E+12     9.3211E+13
    84     4.5709E+05  4.3652E+05     4.6046E-02     3.8875E+12     8.4427E+13
    85     4.3652E+05  4.1687E+05     4.6060E-02     3.4777E+12     7.5505E+13
    86     4.1687E+05  3.9811E+05     4.6046E-02     3.3861E+12     7.3538E+13
    87     3.9811E+05  3.8019E+05     4.6057E-02     3.4267E+12     7.4401E+13
    88     3.8019E+05  3.6308E+05     4.6048E-02     5.2574E+12     1.1417E+14
    89     3.6308E+05  3.4674E+05     4.6048E-02     5.5630E+12     1.2081E+14
    90     3.4674E+05  3.3113E+05     4.6064E-02     4.4403E+12     9.6394E+13
    91     3.3113E+05  3.1623E+05     4.6041E-02     2.9276E+12     6.3587E+13
    92     3.1623E+05  3.0200E+05     4.6043E-02     6.2126E+12     1.3493E+14
    93     3.0200E+05  2.8840E+05     4.6079E-02     4.2245E+12     9.1680E+13
    94     2.8840E+05  2.7542E+05     4.6051E-02     2.4792E+12     5.3835E+13
    95     2.7542E+05  2.6303E+05     4.6029E-02     4.6843E+12     1.0177E+14
    96     2.6303E+05  2.5119E+05     4.6058E-02     3.3401E+12     7.2518E+13
    97     2.5119E+05  2.3988E+05     4.6071E-02     3.3306E+12     7.2293E+13
    98     2.3988E+05  2.2909E+05     4.6024E-02     3.3945E+12     7.3755E+13
    99     2.2909E+05  2.1878E+05     4.6048E-02     2.8652E+12     6.2222E+13
   100     2.1878E+05  2.0893E+05     4.6067E-02     3.9262E+12     8.5226E+13
   101     2.0893E+05  1.9953E+05     4.6035E-02     2.8652E+12     6.2241E+13
   102     1.9953E+05  1.9055E+05     4.6050E-02     2.1906E+12     4.7570E+13
   103     1.9055E+05  1.8197E+05     4.6073E-02     3.9751E+12     8.6280E+13
   104     1.8197E+05  1.7378E+05     4.6052E-02     4.3533E+12     9.4531E+13
   105     1.7378E+05  1.6596E+05     4.6043E-02     3.3751E+12     7.3302E+13
   106     1.6596E+05  1.5849E+05     4.6055E-02     3.8364E+12     8.3301E+13
