  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY

     1     1.9640E+07  1.7333E+07     1.2496E-01     0.0000E+00     0.0000E+00
     2     1.7333E+07  1.4918E+07     1.5004E-01     2.1499E+09     1.4329E+10
     3     1.4918E+07  1.3840E+07     7.5006E-02     1.6237E+10     2.1648E+11
     4     1.3840E+07  1.1618E+07     1.7501E-01     4.4807E+10     2.5603E+11
     5     1.1618E+07  1.0000E+07     1.4997E-01     9.7758E+10     6.5184E+11
     6     1.0000E+07  8.1873E+06     2.0000E-01     6.3768E+11     3.1884E+12
     7     8.1873E+06  6.7032E+06     2.0000E-01     1.2911E+12     6.4554E+12
     8     6.7032E+06  6.0653E+06     1.0000E-01     1.4289E+12     1.4289E+13
     9     6.0653E+06  5.4881E+06     1.0000E-01     1.8336E+12     1.8336E+13
    10     5.4881E+06  4.4933E+06     1.9999E-01     6.1031E+12     3.0516E+13
    11     4.4933E+06  3.6788E+06     2.0000E-01     9.1461E+12     4.5730E+13
    12     3.6788E+06  3.0119E+06     2.0002E-01     1.2410E+13     6.2047E+13
    13     3.0119E+06  2.4660E+06     1.9997E-01     1.6891E+13     8.4464E+13
    14     2.4660E+06  2.2313E+06     1.0001E-01     1.0341E+13     1.0339E+14
    15     2.2313E+06  2.0190E+06     9.9982E-02     9.6121E+12     9.6138E+13
    16     2.0190E+06  1.6530E+06     2.0001E-01     2.0591E+13     1.0295E+14
    17     1.6530E+06  1.3533E+06     2.0005E-01     2.1331E+13     1.0663E+14
    18     1.3533E+06  1.2246E+06     9.9932E-02     1.0882E+13     1.0890E+14
    19     1.2246E+06  1.1080E+06     1.0006E-01     1.1229E+13     1.1222E+14
    20     1.1080E+06  1.0026E+06     9.9960E-02     1.1020E+13     1.1024E+14
    21     1.0026E+06  9.0718E+05     1.0001E-01     1.0913E+13     1.0912E+14
    22     9.0718E+05  8.2085E+05     1.0000E-01     1.0757E+13     1.0757E+14
    23     8.2085E+05  6.0810E+05     3.0000E-01     3.6436E+13     1.2145E+14
    24     6.0810E+05  5.5023E+05     1.0000E-01     1.0791E+13     1.0790E+14
    25     5.5023E+05  4.9787E+05     9.9997E-02     1.0535E+13     1.0536E+14
    26     4.9787E+05  4.5049E+05     1.0000E-01     1.0189E+13     1.0189E+14
    27     4.5049E+05  4.0762E+05     1.0000E-01     7.8913E+12     7.8912E+13
    28     4.0762E+05  3.0197E+05     3.0001E-01     2.4567E+13     8.1888E+13
    29     3.0197E+05  2.7324E+05     9.9977E-02     7.2546E+12     7.2563E+13
    30     2.7324E+05  2.4724E+05     9.9991E-02     8.8677E+12     8.8685E+13
    31     2.4724E+05  1.8316E+05     3.0000E-01     1.9622E+13     6.5405E+13
    32     1.8316E+05  1.2277E+05     4.0005E-01     2.2985E+13     5.7455E+13
    33     1.2277E+05  1.1109E+05     9.9972E-02     5.4592E+12     5.4607E+13
    34     1.1109E+05  8.2298E+04     2.9999E-01     1.1887E+13     3.9623E+13
