  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY

     1     2.0000E+07  1.9000E+07     5.1293E-02     0.0000E+00     0.0000E+00
     2     1.9000E+07  1.8000E+07     5.4067E-02     0.0000E+00     0.0000E+00
     3     1.8000E+07  1.7900E+07     5.5710E-03     0.0000E+00     0.0000E+00
     4     1.7900E+07  1.7800E+07     5.6023E-03     0.0000E+00     0.0000E+00
     5     1.7800E+07  1.7700E+07     5.6338E-03     0.0000E+00     0.0000E+00
     6     1.7700E+07  1.7600E+07     5.6657E-03     0.0000E+00     0.0000E+00
     7     1.7600E+07  1.7500E+07     5.6980E-03     0.0000E+00     0.0000E+00
     8     1.7500E+07  1.7400E+07     5.7307E-03     0.0000E+00     0.0000E+00
     9     1.7400E+07  1.7300E+07     5.7637E-03     0.0000E+00     0.0000E+00
    10     1.7300E+07  1.7200E+07     5.7971E-03     0.0000E+00     0.0000E+00
    11     1.7200E+07  1.7100E+07     5.8309E-03     0.0000E+00     0.0000E+00
    12     1.7100E+07  1.7000E+07     5.8651E-03     0.0000E+00     0.0000E+00
    13     1.7000E+07  1.6900E+07     5.8997E-03     0.0000E+00     0.0000E+00
    14     1.6900E+07  1.6800E+07     5.9347E-03     0.0000E+00     0.0000E+00
    15     1.6800E+07  1.6700E+07     5.9702E-03     0.0000E+00     0.0000E+00
    16     1.6700E+07  1.6600E+07     6.0060E-03     0.0000E+00     0.0000E+00
    17     1.6600E+07  1.6500E+07     6.0423E-03     0.0000E+00     0.0000E+00
    18     1.6500E+07  1.6400E+07     6.0790E-03     1.5028E-08     2.4721E-06
    19     1.6400E+07  1.6300E+07     6.1162E-03     0.0000E+00     0.0000E+00
    20     1.6300E+07  1.6200E+07     6.1539E-03     0.0000E+00     0.0000E+00
    21     1.6200E+07  1.6100E+07     6.1920E-03     0.0000E+00     0.0000E+00
    22     1.6100E+07  1.6000E+07     6.2305E-03     0.0000E+00     0.0000E+00
    23     1.6000E+07  1.5900E+07     6.2696E-03     0.0000E+00     0.0000E+00
    24     1.5900E+07  1.5800E+07     6.3092E-03     0.0000E+00     0.0000E+00
    25     1.5800E+07  1.5700E+07     6.3492E-03     0.0000E+00     0.0000E+00
    26     1.5700E+07  1.5600E+07     6.3898E-03     0.0000E+00     0.0000E+00
    27     1.5600E+07  1.5500E+07     6.4309E-03     0.0000E+00     0.0000E+00
    28     1.5500E+07  1.5400E+07     6.4725E-03     1.8122E-08     2.7998E-06
    29     1.5400E+07  1.5300E+07     6.5147E-03     0.0000E+00     0.0000E+00
    30     1.5300E+07  1.5200E+07     6.5574E-03     0.0000E+00     0.0000E+00
    31     1.5200E+07  1.5100E+07     6.6007E-03     0.0000E+00     0.0000E+00
    32     1.5100E+07  1.5000E+07     6.6445E-03     0.0000E+00     0.0000E+00
    33     1.5000E+07  1.4900E+07     6.6890E-03     0.0000E+00     0.0000E+00
    34     1.4900E+07  1.4800E+07     6.7340E-03     0.0000E+00     0.0000E+00
    35     1.4800E+07  1.4700E+07     6.7797E-03     0.0000E+00     0.0000E+00
    36     1.4700E+07  1.4600E+07     6.8260E-03     0.0000E+00     0.0000E+00
    37     1.4600E+07  1.4500E+07     6.8729E-03     0.0000E+00     0.0000E+00
    38     1.4500E+07  1.4400E+07     6.9204E-03     0.0000E+00     0.0000E+00
    39     1.4400E+07  1.4300E+07     6.9687E-03     5.3460E-10     7.6715E-08
    40     1.4300E+07  1.4200E+07     7.0176E-03     1.7830E-08     2.5408E-06
    41     1.4200E+07  1.4100E+07     7.0672E-03     0.0000E+00     0.0000E+00
    42     1.4100E+07  1.4000E+07     7.1175E-03     0.0000E+00     0.0000E+00
    43     1.4000E+07  1.3900E+07     7.1685E-03     1.7497E-08     2.4408E-06
    44     1.3900E+07  1.3800E+07     7.2202E-03     1.3165E-08     1.8233E-06
    45     1.3800E+07  1.3700E+07     7.2728E-03     0.0000E+00     0.0000E+00
    46     1.3700E+07  1.3600E+07     7.3260E-03     0.0000E+00     0.0000E+00
    47     1.3600E+07  1.3500E+07     7.3801E-03     0.0000E+00     0.0000E+00
    48     1.3500E+07  1.3400E+07     7.4350E-03     5.1406E-08     6.9141E-06
    49     1.3400E+07  1.3300E+07     7.4907E-03     0.0000E+00     0.0000E+00
    50     1.3300E+07  1.3200E+07     7.5472E-03     1.7937E-08     2.3766E-06
    51     1.3200E+07  1.3100E+07     7.6046E-03     0.0000E+00     0.0000E+00
    52     1.3100E+07  1.3000E+07     7.6629E-03     5.2411E-08     6.8396E-06
    53     1.3000E+07  1.2900E+07     7.7220E-03     1.4981E-08     1.9400E-06
    54     1.2900E+07  1.2800E+07     7.7821E-03     1.8273E-08     2.3481E-06
    55     1.2800E+07  1.2700E+07     7.8432E-03     1.4121E-08     1.8004E-06
    56     1.2700E+07  1.2600E+07     7.9052E-03     3.4244E-08     4.3318E-06
    57     1.2600E+07  1.2500E+07     7.9682E-03     0.0000E+00     0.0000E+00
    58     1.2500E+07  1.2400E+07     8.0322E-03     1.3917E-08     1.7327E-06
    59     1.2400E+07  1.2300E+07     8.0972E-03     1.2631E-08     1.5599E-06
    60     1.2300E+07  1.2200E+07     8.1633E-03     0.0000E+00     0.0000E+00
    61     1.2200E+07  1.2100E+07     8.2305E-03     1.1993E-08     1.4571E-06
    62     1.2100E+07  1.2000E+07     8.2988E-03     5.6783E-08     6.8423E-06
    63     1.2000E+07  1.1900E+07     8.3682E-03     2.8444E-08     3.3990E-06
    64     1.1900E+07  1.1800E+07     8.4389E-03     0.0000E+00     0.0000E+00
    65     1.1800E+07  1.1700E+07     8.5107E-03     0.0000E+00     0.0000E+00
    66     1.1700E+07  1.1600E+07     8.5837E-03     4.7935E-08     5.5844E-06
    67     1.1600E+07  1.1500E+07     8.6581E-03     2.9146E-08     3.3663E-06
    68     1.1500E+07  1.1400E+07     8.7337E-03     2.3712E-08     2.7150E-06
    69     1.1400E+07  1.1300E+07     8.8106E-03     3.5747E-08     4.0573E-06
    70     1.1300E+07  1.1200E+07     8.8889E-03     3.0489E-08     3.4300E-06
    71     1.1200E+07  1.1100E+07     8.9687E-03     7.9273E-08     8.8389E-06
