  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY

     1     1.9640E+07  1.7333E+07     1.2496E-01     6.6916E-06     5.3552E-05
     2     1.7333E+07  1.4918E+07     1.5004E-01     1.5930E-05     1.0617E-04
     3     1.4918E+07  1.3840E+07     7.5006E-02     1.0278E-05     1.3703E-04
     4     1.3840E+07  1.1618E+07     1.7501E-01     4.9583E-05     2.8332E-04
     5     1.1618E+07  1.0000E+07     1.4997E-01     1.1865E-04     7.9116E-04
     6     1.0000E+07  8.1873E+06     2.0000E-01     4.4932E-04     2.2466E-03
     7     8.1873E+06  6.7032E+06     2.0000E-01     1.1509E-03     5.7545E-03
     8     6.7032E+06  6.0653E+06     1.0000E-01     1.0233E-03     1.0233E-02
     9     6.0653E+06  5.4881E+06     1.0000E-01     1.3668E-03     1.3668E-02
    10     5.4881E+06  4.4933E+06     1.9999E-01     4.3450E-03     2.1726E-02
    11     4.4933E+06  3.6788E+06     2.0000E-01     6.2777E-03     3.1388E-02
    12     3.6788E+06  3.0119E+06     2.0002E-01     8.9414E-03     4.4704E-02
    13     3.0119E+06  2.4660E+06     1.9997E-01     1.2983E-02     6.4924E-02
    14     2.4660E+06  2.2313E+06     1.0001E-01     7.8716E-03     7.8706E-02
    15     2.2313E+06  2.0190E+06     9.9982E-02     7.3546E-03     7.3559E-02
    16     2.0190E+06  1.6530E+06     2.0001E-01     1.6075E-02     8.0371E-02
    17     1.6530E+06  1.3534E+06     1.9997E-01     1.8869E-02     9.4358E-02
    18     1.3534E+06  1.2246E+06     1.0001E-01     9.6460E-03     9.6455E-02
    19     1.2246E+06  1.1080E+06     1.0006E-01     1.0830E-02     1.0824E-01
    20     1.1080E+06  1.0026E+06     9.9960E-02     8.7370E-03     8.7405E-02
    21     1.0026E+06  9.0718E+05     1.0001E-01     8.6765E-03     8.6755E-02
    22     9.0718E+05  8.2085E+05     1.0000E-01     1.2679E-02     1.2679E-01
    23     8.2085E+05  6.0810E+05     3.0000E-01     5.9354E-02     1.9785E-01
    24     6.0810E+05  5.5023E+05     1.0000E-01     2.0820E-02     2.0819E-01
    25     5.5023E+05  4.9787E+05     9.9997E-02     2.2604E-02     2.2605E-01
    26     4.9787E+05  4.5049E+05     1.0000E-01     1.9196E-02     1.9195E-01
    27     4.5049E+05  4.0762E+05     1.0000E-01     1.1942E-02     1.1942E-01
    28     4.0762E+05  3.0197E+05     3.0001E-01     5.9428E-02     1.9809E-01
    29     3.0197E+05  2.7324E+05     9.9977E-02     2.1465E-02     2.1470E-01
    30     2.7324E+05  2.4724E+05     9.9991E-02     2.4117E-02     2.4119E-01
    31     2.4724E+05  1.8316E+05     3.0000E-01     6.6600E-02     2.2200E-01
    32     1.8316E+05  1.2277E+05     4.0005E-01     9.9250E-02     2.4810E-01
    33     1.2277E+05  1.1109E+05     9.9972E-02     2.3013E-02     2.3019E-01
    34     1.1109E+05  8.2297E+04     3.0001E-01     5.5682E-02     1.8560E-01
    35     8.2297E+04  6.7379E+04     2.0000E-01     4.2858E-02     2.1429E-01
    36     6.7379E+04  5.5166E+04     1.9999E-01     3.7873E-02     1.8938E-01
    37     5.5166E+04  4.0868E+04     3.0000E-01     5.2680E-02     1.7560E-01
