  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY

     1     1.9640E+07  1.7332E+07     1.2500E-01     0.0000E+00     0.0000E+00
     2     1.7332E+07  1.6905E+07     2.4998E-02     0.0000E+00     0.0000E+00
     3     1.6905E+07  1.6487E+07     2.5001E-02     0.0000E+00     0.0000E+00
     4     1.6487E+07  1.5683E+07     5.0001E-02     0.0000E+00     0.0000E+00
     5     1.5683E+07  1.4918E+07     5.0002E-02     2.2409E-02     4.4816E-01
     6     1.4918E+07  1.4550E+07     2.4998E-02     7.4196E-01     2.9681E+01
     7     1.4550E+07  1.4191E+07     2.4997E-02     4.9647E-02     1.9861E+00
     8     1.4191E+07  1.3840E+07     2.5002E-02     4.9860E-03     1.9942E-01
     9     1.3840E+07  1.3499E+07     2.4999E-02     4.3547E-03     1.7420E-01
    10     1.3499E+07  1.2840E+07     4.9997E-02     7.2941E-03     1.4589E-01
    11     1.2840E+07  1.2523E+07     2.5006E-02     2.1333E-03     8.5312E-02
    12     1.2523E+07  1.2214E+07     2.5000E-02     1.6941E-03     6.7764E-02
    13     1.2214E+07  1.1618E+07     5.0001E-02     2.5709E-03     5.1417E-02
    14     1.1618E+07  1.1052E+07     4.9997E-02     2.4568E-03     4.9139E-02
    15     1.1052E+07  1.0513E+07     5.0000E-02     2.4299E-03     4.8598E-02
    16     1.0513E+07  1.0000E+07     4.9999E-02     2.3299E-03     4.6599E-02
    17     1.0000E+07  9.5123E+06     5.0000E-02     2.2089E-03     4.4178E-02
    18     9.5123E+06  9.0484E+06     5.0000E-02     2.1092E-03     4.2184E-02
    19     9.0484E+06  8.6071E+06     5.0000E-02     2.1013E-03     4.2026E-02
    20     8.6071E+06  8.1873E+06     5.0000E-02     2.7584E-03     5.5168E-02
    21     8.1873E+06  7.7880E+06     5.0000E-02     2.7437E-03     5.4874E-02
    22     7.7880E+06  7.4082E+06     5.0001E-02     2.8035E-03     5.6069E-02
    23     7.4082E+06  7.0469E+06     5.0000E-02     2.5997E-03     5.1994E-02
    24     7.0469E+06  6.7032E+06     5.0000E-02     2.3575E-03     4.7150E-02
    25     6.7032E+06  6.5924E+06     1.6666E-02     7.3135E-04     4.3883E-02
    26     6.5924E+06  6.3763E+06     3.3334E-02     1.3963E-03     4.1888E-02
    27     6.3763E+06  6.0653E+06     4.9999E-02     1.9674E-03     3.9349E-02
    28     6.0653E+06  5.7695E+06     5.0000E-02     1.8766E-03     3.7532E-02
    29     5.7695E+06  5.4881E+06     5.0000E-02     1.9527E-03     3.9054E-02
    30     5.4881E+06  5.2205E+06     5.0000E-02     1.9574E-03     3.9148E-02
    31     5.2205E+06  4.9658E+06     5.0001E-02     1.9331E-03     3.8661E-02
    32     4.9658E+06  4.7237E+06     4.9998E-02     1.9950E-03     3.9901E-02
    33     4.7237E+06  4.4933E+06     5.0001E-02     2.0966E-03     4.1931E-02
    34     4.4933E+06  4.0657E+06     9.9999E-02     4.0595E-03     4.0595E-02
    35     4.0657E+06  3.6788E+06     1.0000E-01     3.9337E-03     3.9336E-02
    36     3.6788E+06  3.3287E+06     9.9999E-02     4.1280E-03     4.1280E-02
    37     3.3287E+06  3.1664E+06     4.9999E-02     2.1580E-03     4.3161E-02
    38     3.1664E+06  3.0119E+06     5.0001E-02     2.1865E-03     4.3729E-02
    39     3.0119E+06  2.8650E+06     4.9999E-02     2.2510E-03     4.5021E-02
    40     2.8650E+06  2.7253E+06     5.0000E-02     2.3503E-03     4.7006E-02
    41     2.7253E+06  2.5924E+06     5.0002E-02     2.3026E-03     4.6050E-02
    42     2.5924E+06  2.4660E+06     4.9999E-02     2.3781E-03     4.7563E-02
    43     2.4660E+06  2.3851E+06     3.3332E-02     1.6295E-03     4.8888E-02
    44     2.3851E+06  2.3653E+06     8.3361E-03     3.9926E-04     4.7895E-02
    45     2.3653E+06  2.3457E+06     8.3337E-03     4.1515E-04     4.9816E-02
    46     2.3457E+06  2.3069E+06     1.6666E-02     8.1700E-04     4.9021E-02
    47     2.3069E+06  2.2313E+06     3.3333E-02     1.6004E-03     4.8012E-02
    48     2.2313E+06  2.1225E+06     4.9999E-02     2.3824E-03     4.7649E-02
    49     2.1225E+06  2.0190E+06     4.9998E-02     2.3758E-03     4.7518E-02
    50     2.0190E+06  1.9205E+06     5.0002E-02     2.4305E-03     4.8608E-02
    51     1.9205E+06  1.8268E+06     4.9998E-02     2.3910E-03     4.7822E-02
    52     1.8268E+06  1.7377E+06     5.0002E-02     2.3744E-03     4.7486E-02
    53     1.7377E+06  1.6530E+06     5.0000E-02     2.4646E-03     4.9292E-02
    54     1.6530E+06  1.5724E+06     5.0002E-02     2.4512E-03     4.9022E-02
    55     1.5724E+06  1.4957E+06     4.9996E-02     2.4823E-03     4.9650E-02
    56     1.4957E+06  1.4227E+06     5.0003E-02     2.3994E-03     4.7985E-02
    57     1.4227E+06  1.3534E+06     5.0002E-02     2.3346E-03     4.6691E-02
    58     1.3534E+06  1.2874E+06     4.9997E-02     2.3718E-03     4.7439E-02
    59     1.2874E+06  1.2246E+06     5.0004E-02     2.3837E-03     4.7670E-02
    60     1.2246E+06  1.1648E+06     4.9998E-02     2.3481E-03     4.6964E-02
    61     1.1648E+06  1.1080E+06     5.0000E-02     2.2754E-03     4.5508E-02
    62     1.1080E+06  1.0026E+06     9.9997E-02     4.5822E-03     4.5823E-02
    63     1.0026E+06  9.6167E+05     4.1668E-02     1.6551E-03     3.9721E-02
    64     9.6167E+05  9.0718E+05     5.8333E-02     2.5226E-03     4.3245E-02
    65     9.0718E+05  8.6294E+05     5.0000E-02     2.1055E-03     4.2110E-02
    66     8.6294E+05  8.2085E+05     5.0000E-02     2.0690E-03     4.1380E-02
    67     8.2085E+05  7.8082E+05     5.0000E-02     2.0526E-03     4.1052E-02
    68     7.8082E+05  7.4274E+05     5.0000E-02     1.9809E-03     3.9618E-02
    69     7.4274E+05  7.0651E+05     5.0000E-02     1.9078E-03     3.8156E-02
    70     7.0651E+05  6.7206E+05     5.0000E-02     1.8775E-03     3.7550E-02
    71     6.7206E+05  6.3928E+05     4.9999E-02     1.8096E-03     3.6193E-02
    72     6.3928E+05  6.0810E+05     5.0000E-02     1.7755E-03     3.5510E-02
    73     6.0810E+05  5.7844E+05     5.0001E-02     1.7334E-03     3.4667E-02
    74     5.7844E+05  5.5023E+05     5.0000E-02     1.6267E-03     3.2534E-02
    75     5.5023E+05  5.2340E+05     5.0000E-02     1.5976E-03     3.1952E-02
