  GROUP      UPPER       LOWER         LETHARGY         DATA        DATA/LETHARGY

     1     2.0000E+07  1.9953E+07     2.3528E-03     0.0000E+00     0.0000E+00
     2     1.9953E+07  1.9055E+07     4.6050E-02     0.0000E+00     0.0000E+00
     3     1.9055E+07  1.8197E+07     4.6073E-02     0.0000E+00     0.0000E+00
     4     1.8197E+07  1.7378E+07     4.6052E-02     0.0000E+00     0.0000E+00
     5     1.7378E+07  1.6596E+07     4.6043E-02     0.0000E+00     0.0000E+00
     6     1.6596E+07  1.5849E+07     4.6055E-02     0.0000E+00     0.0000E+00
     7     1.5849E+07  1.5136E+07     4.6030E-02     0.0000E+00     0.0000E+00
     8     1.5136E+07  1.4454E+07     4.6105E-02     4.0846E+04     8.8594E+05
     9     1.4454E+07  1.3804E+07     4.6013E-02     3.0566E+06     6.6428E+07
    10     1.3804E+07  1.3183E+07     4.6030E-02     8.1133E+06     1.7626E+08
    11     1.3183E+07  1.2589E+07     4.6105E-02     1.0714E+07     2.3238E+08
    12     1.2589E+07  1.2023E+07     4.6002E-02     9.8944E+06     2.1509E+08
    13     1.2023E+07  1.1482E+07     4.6041E-02     7.6537E+06     1.6624E+08
    14     1.1482E+07  1.0965E+07     4.6072E-02     6.1330E+06     1.3312E+08
    15     1.0965E+07  1.0471E+07     4.6099E-02     6.1842E+06     1.3415E+08
    16     1.0471E+07  1.0000E+07     4.6024E-02     5.5638E+06     1.2089E+08
    17     1.0000E+07  9.5499E+06     4.6054E-02     5.8229E+06     1.2644E+08
    18     9.5499E+06  9.1201E+06     4.6050E-02     5.0733E+06     1.1017E+08
    19     9.1201E+06  8.7096E+06     4.6055E-02     4.5456E+06     9.8699E+07
    20     8.7096E+06  8.3176E+06     4.6052E-02     4.6088E+06     1.0008E+08
    21     8.3176E+06  7.9433E+06     4.6045E-02     4.6545E+06     1.0109E+08
    22     7.9433E+06  7.5858E+06     4.6051E-02     4.2955E+06     9.3277E+07
    23     7.5858E+06  7.2444E+06     4.6049E-02     3.5579E+06     7.7263E+07
    24     7.2444E+06  6.9183E+06     4.6059E-02     4.1353E+06     8.9783E+07
    25     6.9183E+06  6.6069E+06     4.6056E-02     3.6034E+06     7.8239E+07
    26     6.6069E+06  6.3096E+06     4.6042E-02     4.0173E+06     8.7252E+07
    27     6.3096E+06  6.0256E+06     4.6055E-02     4.0628E+06     8.8215E+07
    28     6.0256E+06  5.7544E+06     4.6052E-02     4.3580E+06     9.4631E+07
    29     5.7544E+06  5.4954E+06     4.6053E-02     4.0682E+06     8.8335E+07
    30     5.4954E+06  5.2481E+06     4.6045E-02     4.1446E+06     9.0012E+07
    31     5.2481E+06  5.0119E+06     4.6051E-02     3.6936E+06     8.0208E+07
    32     5.0119E+06  4.7863E+06     4.6057E-02     3.6266E+06     7.8740E+07
    33     4.7863E+06  4.5709E+06     4.6048E-02     4.5233E+06     9.8232E+07
    34     4.5709E+06  4.3652E+06     4.6046E-02     3.6080E+06     7.8356E+07
    35     4.3652E+06  4.1687E+06     4.6060E-02     3.8863E+06     8.4374E+07
    36     4.1687E+06  3.9811E+06     4.6046E-02     4.2119E+06     9.1471E+07
    37     3.9811E+06  3.8019E+06     4.6057E-02     3.8336E+06     8.3236E+07
    38     3.8019E+06  3.6308E+06     4.6048E-02     4.1240E+06     8.9560E+07
    39     3.6308E+06  3.4674E+06     4.6048E-02     4.0648E+06     8.8273E+07
    40     3.4674E+06  3.3113E+06     4.6064E-02     4.0968E+06     8.8937E+07
    41     3.3113E+06  3.1623E+06     4.6041E-02     4.5835E+06     9.9553E+07
    42     3.1623E+06  3.0200E+06     4.6043E-02     4.5250E+06     9.8279E+07
    43     3.0200E+06  2.8840E+06     4.6079E-02     4.7543E+06     1.0318E+08
    44     2.8840E+06  2.7542E+06     4.6051E-02     5.3039E+06     1.1517E+08
    45     2.7542E+06  2.6303E+06     4.6029E-02     5.4769E+06     1.1899E+08
    46     2.6303E+06  2.5119E+06     4.6058E-02     5.6451E+06     1.2256E+08
    47     2.5119E+06  2.3988E+06     4.6071E-02     6.3880E+06     1.3866E+08
    48     2.3988E+06  2.2909E+06     4.6024E-02     6.7699E+06     1.4709E+08
    49     2.2909E+06  2.1878E+06     4.6048E-02     6.7213E+06     1.4596E+08
    50     2.1878E+06  2.0893E+06     4.6067E-02     6.0466E+06     1.3126E+08
    51     2.0893E+06  1.9953E+06     4.6035E-02     6.5066E+06     1.4134E+08
    52     1.9953E+06  1.9055E+06     4.6050E-02     6.3076E+06     1.3697E+08
    53     1.9055E+06  1.8197E+06     4.6073E-02     6.7474E+06     1.4645E+08
    54     1.8197E+06  1.7378E+06     4.6052E-02     7.4760E+06     1.6234E+08
    55     1.7378E+06  1.6596E+06     4.6043E-02     7.3791E+06     1.6026E+08
    56     1.6596E+06  1.5849E+06     4.6055E-02     7.0946E+06     1.5405E+08
    57     1.5849E+06  1.5136E+06     4.6030E-02     7.3285E+06     1.5921E+08
    58     1.5136E+06  1.4454E+06     4.6105E-02     7.3496E+06     1.5941E+08
    59     1.4454E+06  1.3804E+06     4.6013E-02     8.2158E+06     1.7855E+08
    60     1.3804E+06  1.3183E+06     4.6030E-02     7.7647E+06     1.6869E+08
    61     1.3183E+06  1.2589E+06     4.6105E-02     7.8665E+06     1.7062E+08
    62     1.2589E+06  1.2023E+06     4.6002E-02     9.5473E+06     2.0754E+08
    63     1.2023E+06  1.1482E+06     4.6041E-02     9.7865E+06     2.1256E+08
    64     1.1482E+06  1.0965E+06     4.6072E-02     8.7708E+06     1.9037E+08
    65     1.0965E+06  1.0471E+06     4.6099E-02     7.4497E+06     1.6160E+08
    66     1.0471E+06  1.0000E+06     4.6024E-02     6.5711E+06     1.4277E+08
    67     1.0000E+06  9.5499E+05     4.6054E-02     6.9763E+06     1.5148E+08
    68     9.5499E+05  9.1201E+05     4.6050E-02     7.9452E+06     1.7253E+08
    69     9.1201E+05  8.7096E+05     4.6055E-02     7.7844E+06     1.6902E+08
    70     8.7096E+05  8.3176E+05     4.6052E-02     8.9880E+06     1.9517E+08
    71     8.3176E+05  7.9433E+05     4.6045E-02     9.2844E+06     2.0164E+08
    72     7.9433E+05  7.5858E+05     4.6051E-02     9.1306E+06     1.9827E+08
    73     7.5858E+05  7.2444E+05     4.6049E-02     9.6387E+06     2.0931E+08
    74     7.2444E+05  6.9183E+05     4.6059E-02     8.6747E+06     1.8834E+08
    75     6.9183E+05  6.6069E+05     4.6056E-02     8.3873E+06     1.8211E+08
    76     6.6069E+05  6.3096E+05     4.6042E-02     8.7488E+06     1.9002E+08
    77     6.3096E+05  6.0256E+05     4.6055E-02     8.7293E+06     1.8954E+08
    78     6.0256E+05  5.7544E+05     4.6052E-02     8.9270E+06     1.9384E+08
    79     5.7544E+05  5.4954E+05     4.6053E-02     8.4013E+06     1.8243E+08
    80     5.4954E+05  5.2481E+05     4.6045E-02     7.0084E+06     1.5221E+08
    81     5.2481E+05  5.0119E+05     4.6051E-02     6.9594E+06     1.5112E+08
    82     5.0119E+05  4.7863E+05     4.6057E-02     6.8222E+06     1.4812E+08
    83     4.7863E+05  4.5709E+05     4.6048E-02     6.0664E+06     1.3174E+08
    84     4.5709E+05  4.3652E+05     4.6046E-02     5.4185E+06     1.1767E+08
    85     4.3652E+05  4.1687E+05     4.6060E-02     4.8210E+06     1.0467E+08
    86     4.1687E+05  3.9811E+05     4.6046E-02     5.6966E+06     1.2372E+08
    87     3.9811E+05  3.8019E+05     4.6057E-02     5.6062E+06     1.2172E+08
    88     3.8019E+05  3.6308E+05     4.6048E-02     6.1472E+06     1.3350E+08
    89     3.6308E+05  3.4674E+05     4.6048E-02     6.2568E+06     1.3588E+08
    90     3.4674E+05  3.3113E+05     4.6064E-02     6.2439E+06     1.3555E+08
    91     3.3113E+05  3.1623E+05     4.6041E-02     6.0694E+06     1.3182E+08
    92     3.1623E+05  3.0200E+05     4.6043E-02     6.9637E+06     1.5124E+08
    93     3.0200E+05  2.8840E+05     4.6079E-02     5.5209E+06     1.1981E+08
    94     2.8840E+05  2.7542E+05     4.6051E-02     4.8991E+06     1.0638E+08
    95     2.7542E+05  2.6303E+05     4.6029E-02     6.6143E+06     1.4370E+08
    96     2.6303E+05  2.5119E+05     4.6058E-02     5.4497E+06     1.1832E+08
    97     2.5119E+05  2.3988E+05     4.6071E-02     4.8281E+06     1.0480E+08
    98     2.3988E+05  2.2909E+05     4.6024E-02     5.0238E+06     1.0916E+08
    99     2.2909E+05  2.1878E+05     4.6048E-02     5.5432E+06     1.2038E+08
   100     2.1878E+05  2.0893E+05     4.6067E-02     4.1651E+06     9.0413E+07
   101     2.0893E+05  1.9953E+05     4.6035E-02     4.8100E+06     1.0449E+08
   102     1.9953E+05  1.9055E+05     4.6050E-02     4.3188E+06     9.3785E+07
   103     1.9055E+05  1.8197E+05     4.6073E-02     5.0878E+06     1.1043E+08
   104     1.8197E+05  1.7378E+05     4.6052E-02     4.7873E+06     1.0396E+08
   105     1.7378E+05  1.6596E+05     4.6043E-02     4.1230E+06     8.9546E+07
   106     1.6596E+05  1.5849E+05     4.6055E-02     3.5425E+06     7.6919E+07
